课程名,学分,主讲教师,上课时间,开课院系,掉课率
生物地球化学,2,段雷,1-6(全周),环境学院,15.53
水工艺设备、仪表与控制,2,张潇源,3-4(全周),环境学院,14.08
环境模拟实践,2,董欣,1-3(全周),环境学院,10.0
机械系统计算机仿真,2,石伟,1-1(全周),机械系,10.28
综合论文训练,15,林智荣,(全周),机械系,16.53
特种加工,2,韩福柱,5-2(全周),机械系,12.27
机械材料学,3,张弓,5-2(全周),机械系,14.46
机械工程数值计算,3,瞿体明,5-2(全周),机械系,12.52
机械工程数值计算,3,方刚,4-2(全周),机械系,19.37
综合论文训练,9,林智荣,(全周),机械系,19.02
综合论文训练,15,曹良才,(全周),精仪系,13.37
光电仪器设计,3,吴冠豪,2-2(全周),精仪系,15.0
信息光学,2,曹良才,1-3(全周),精仪系,11.9
自适应光学原理,2,黄磊,3-4(前八周);1-1(前八周),精仪系,15.8
综合论文训练,10,曹良才,(全周),精仪系,17.56
综合论文训练,15,杨震,(全周),能动系,16.57
科技英语写作与表达,2,隋然,3-3(后八周);5-3(后八周),能动系,19.01
科学研究训练,3,杨斌,3-2(全周),能动系,11.28
动力机械与工程原理,3,顾春伟,3-2(全周),能动系,13.53
流体机械原理及设计,3,谭磊,5-2(全周);2-3(全周),能动系,14.08
自主研究探索课程(1),2,张衍国,2-3(全周),能动系,18.56
自主研究探索课程(1),2,刘树红,2-3(全周),能动系,49.44
自主研究探索课程(1),2,周会,2-3(全周),能动系,11.27
自主研究探索课程(1),2,张衍国,2-6(全周),能动系,32.38
自主研究探索课程(1),2,刘超,2-3(全周),能动系,37.61
能源物理,2,XIONG…,5-4(全周),能动系,45.5
自主研究探索课程(3),2,张建胜,1-6(全周),能动系,45.91
自主研究探索课程(3),2,薛亚丽,2-1(全周),能动系,14.14
自主研究探索课程(3),2,顾春伟,1-3(前八周);4-1(前八周),能动系,12.38
自主研究探索课程(3),2,蒋东翔,1-3(全周),能动系,13.55
自主研究探索课程(3),2,由长福,2-1(全周),能动系,13.49
自主研究探索课程(3),2,曹海山,2-1(全周),能动系,44.69
自主研究探索课程(3),2,麻林巍,1-3(全周),能动系,46.77
综合论文训练,15,王志,(全周),车辆学院,16.06
汽车构造(1),2,胡尊严,1-1(全周),车辆学院,12.61
汽车试验学(2),1,王文军,6-2(双周),车辆学院,16.41
智能交通系统,2,杨殿阁,3-3(全周),车辆学院,30.23
设计思维与产品设计战略,3,蒋红斌,1-6(全周),车辆学院,16.8
车用动力电池系统设计,3,李哲,3-2(全周),车辆学院,13.26
交通系统大数据分析与建模,3,王凯,4-6(全周),车辆学院,17.05
生产计划与控制,2,王飞帆,3-2(全周),工业工程系,39.96
综合论文训练,15,于瑞峰,(全周),工业工程系,17.08
物流网络系统规划,3,蔡临宁,4-2(全周),工业工程系,19.04
实验设计,2,王凯波,5-4(全周),工业工程系,14.48
国际物流(英),2,白茜文,3-4(全周),工业工程系,15.61
需求与库存管理,2,黄四民,1-3(全周),工业工程系,19.89
应用时间序列分析,3,李东,3-6(全周),统计系,19.54
多元统计分析,3,邓婉璐,4-6(全周),统计系,16.23
多元统计分析,3,邓婉璐,5-4(全周);5-3(全周),统计系,19.37
实验设计和分析,3,周在莹,5-2(全周),统计系,12.46
线性回归分析,3,周在莹,2-4(全周);2-3(全周),统计系,10.15
线性回归分析,3,周在莹,3-2(全周),统计系,13.34
贝叶斯统计导论,3,邓婉璐,2-4(全周);2-3(全周),统计系,15.94
统计学习导论,3,俞声,3-2(全周),统计系,11.3
质量管理与质量控制,2,吴甦,2-2(全周),工业工程系,18.46
系统设计与管理,2,王琛,1-6(全周),工业工程系,10.26
领导与管理沟通,2,饶培伦,2-3(全周),工业工程系,15.65
动态规划与强化学习,3,张浚泷,2-6(全周),工业工程系,33.86
电力系统继电保护,3,董新洲,5-3(后八周);2-2(全周),电机系,19.39
综合论文训练,15,张品佳,(全周),电机系,14.3
信号与系统,3,郑竞宏,2-2(全周),电机系,13.33
电力传动与控制,2,肖曦,5-3(全周),电机系,16.5
继电保护实验课,1,董新洲,(后八周),电机系,13.72
电力系统可靠性评估与应用,2,程林,2-3(全周),电机系,15.89
现代配电系统分析,2,胡泽春,4-1(全周),电机系,10.97
电力系统预测技术,3,康重庆,1-2(全周),电机系,17.41
能量转化原理与技术,2,林今,3-1(全周),电机系,10.55
能源互联网导论,2,郭庆来,5-1(全周),电机系,36.33
工具软件使用,1,朱桂萍,(后八周),电机系,34.17
综合论文训练,10,张品佳,(全周),电机系,19.3
综合论文训练,15,李懋坤,(全周),电子系,10.07
综合论文训练,15,李懋坤,(全周),电子系,19.68
电磁场与微波实验,1,凌丹,(全周),电子系,16.43
语音信号处理,3,肖熙,3-6(全周),电子系,12.24
通信系统,3,宋健,3-4(全周);3-3(全周),电子系,11.41
信息网络原理与设计,3,牛志升,3-2(全周),电子系,12.21
光通信技术,3,陈明华,1-6(全周),电子系,46.17
智能机器人设计实践,2,段岳圻,1-3(全周),电子系,49.83
媒体与认知,3,王生进,4-2(全周),电子系,33.05
媒体与认知,3,彭良瑞,4-2(全周),电子系,15.07
通信系统专题设计,3,孙忆南,5-4(全周);5-3(全周),电子系,14.65
光电综合系统专题实验,2,马晓红,(全周),电子系,37.95
智能无人机技术设计实践,2,余金城,6-2(全周);6-1(全周),电子系,45.78
数字图像处理,2,崔鹏,3-3(全周),计算机系,14.92
综合论文训练,15,,(全周),计算机系,18.02
综合论文训练,15,,(全周),计算机系,12.59
综合论文训练,15,,(全周),计算机系,19.1
多媒体技术基础及应用,2,孙立峰,2-3(全周),计算机系,10.19
计算机图形学基础,2,胡事民,2-1(全周),计算机系,15.04
计算机系统结构,3,汪东升,4-2(全周),计算机系,80.86
计算机系统结构,3,李兆麟,4-2(全周),计算机系,88.63
计算机系统结构,3,张广艳,4-2(全周),计算机系,12.18
模式识别,2,陶霖密,5-4(前八周);2-1(前八周),计算机系,15.64
数据挖掘,2,李涓子,4-1(全周),计算机系,11.76
计算机网络原理,3,崔勇,3-2(全周),计算机系,16.26
计算机网络原理,3,LIZON…,3-2(全周),计算机系,87.85
机器学习概论,2,张敏,1-4(全周),计算机系,15.97
以服务为中心的软件开发设计与实现,2,唐杰,1-1(全周),计算机系,11.12
计算机网络专题训练,2,杨芫,4-1(1-16周),计算机系,16.91
现代密码学,2,于红波,3-3(全周),计算机系,10.02
人工智能技术,2,马少平,3-2(全周),计算机系,90.95
量子计算研讨课,3,季铮锋,2-4(全周);2-3(全周),计算机系,13.66
深度学习及金融数据分析,2,胡晓林,4-6(全周),计算机系,96.97
理论计算机科学导论,3,季铮锋,3-6(全周),计算机系,19.21
高性能计算专题训练,2,韩文弢,3-4(全周),计算机系,14.6
人工智能安全与治理技术前沿,2,崔鹏,2-6(全周),计算机系,16.87
搜索与推荐技术基础,2,艾清遥,1-3(全周),计算机系,14.37
信号与系统分析,4,卓晴,4-1(全周);1-2(全周),自动化系,13.1
信号与系统分析,4,卓晴,3-2(全周);5-1(全周),自动化系,13.76
人工智能导论,2,张长水,4-1(全周),自动化系,14.96
系统工程导论,2,胡坚明,2-2(全周),自动化系,11.49
综合论文训练,15,耿华,(全周),自动化系,17.36
交叉项目训练-自主飞行,3,李清,2-2(全周),自动化系,13.55
计算机视觉,3,刘烨斌,1-2(全周),自动化系,12.11
交叉项目训练-智能无人机系统(2),3,陆耿,5-4(全周);5-3(全周),自动化系,17.96
交叉项目训练-脑科学与人工智能,3,乔晖,4-2(全周),自动化系,11.72
交叉项目训练-智能机器视觉,3,于涛,3-6(全周),自动化系,37.57
交叉项目训练-智能计算成像,3,万森,2-6(全周),自动化系,13.71
交叉项目训练-机器人智能操作,3,李翔,4-2(全周),自动化系,34.25
交叉项目训练-智能网联系统,3,莫一林,2-2(全周),自动化系,38.33
交叉项目训练-系统辨识基础及应用,3,叶昊,2-4(全周);2-3(全周),自动化系,11.66
综合论文训练,9,耿华,(全周),自动化系,10.05
交叉项目训练-数字生物学,3,于国强,2-2(全周),自动化系,11.41
交叉项目训练(1)-多模态智能,1,冯建江,4-1(前八周),自动化系,17.4
交叉项目训练-系统辨识基础及应用,1,江瑞,5-3(前八周),自动化系,14.48
交叉项目训练(1)-智能机器人,1,陈章,5-3(双周),自动化系,17.25
交叉项目训练(1)-脑与认知科学,1,乔晖,5-3(前八周),自动化系,17.59
集成电路课程设计,3,李翔宇,3-2(全周),集成电路学院,10.13
综合论文训练,15,,(全周),集成电路学院,19.4
微纳电子材料器件分析技术,2,谢丹,2-1(全周),集成电路学院,19.72
计算机原理与设计,3,尹首一,1-4(全周);1-3(全周),集成电路学院,14.9
数字信号处理,3,谢翔,3-4(全周);3-3(全周),集成电路学院,13.92
集成电路基础-芯片设计,3,池保勇,4-2(全周),集成电路学院,17.97
集成电路先进封装与系统集成基础,2,王谦,2-1(全周),集成电路学院,13.03
燃烧学,3,郭印诚,2-2(全周),航院,19.42
综合论文训练,15,陈海昕,(全周),航院,12.5
振动量测,2,陆秋海,3-3(全周),航院,34.81
新概念热学,2,曹炳阳,3-2(前八周);5-3(前八周),航院,19.01
航空器总体设计,3,肖志祥,1-2(全周),航院,17.61
热物理数值计算,3,张健,2-4(全周);2-3(全周),航院,10.23
燃烧学,3,梁文恺,4-2(全周),航院,16.95
发动机结构与系统设计,3,张会强,1-2(全周),航院,10.41
出国研学与实习,3,陈民,(全周),航院,17.22
综合论文写作,3,陈民,(全周),航院,19.45
雷达探测与对抗,2,曲卫,3-2(全周),航院,13.74
激光应用,2,华剑飞,3-4(全周),工物系,19.34
辐射防护及保健物理,2,邱睿,5-2(全周),工物系,30.81
辐射防护及保健物理,2,马豪,5-2(全周),工物系,10.32
加速器原理,2,黄文会,2-1(全周),工物系,13.48
核反应堆热工水力学,2,俞冀阳,3-1(全周),工物系,19.25
同位素分离原理,2,姜东君,4-1(全周),工物系,14.74
综合论文训练,15,杨祎罡,(全周),工物系,15.74
核数据获取与处理,2,王振天,2-3(全周),工物系,15.52
科研认知与专题研究(2),1,杨祎罡,(全周),工物系,16.31
科研认知与专题研究(4),1,杨祎罡,(全周),工物系,18.22
综合论文训练,15,余立新,(全周),化工系,11.08
工业催化,2,张如范,1-3(前八周);3-1(前八周),化工系,13.92
高分子化学,3,唐黎明,4-2(全周),化工系,19.02
综合论文训练,10,余立新,(全周),化工系,14.98
化工实验(3),2,崔琳,2-4(全周);2-3(全周),化工系,37.47
化工实验(3),2,崔琳,3-4(全周);3-3(全周),化工系,17.99
智能化工,2,王笑楠,1-1(全周),化工系,18.93
综合论文训练,15,易迪,(全周),材料学院,12.82
薄膜材料与应用,2,李正操,1-2(全周),材料学院,43.72
结构陶瓷材料及其应用,2,汪长安,1-1(全周),材料学院,45.53
电子材料工学,2,唐子龙,3-2(全周),材料学院,18.55
电子封装,2,刘锴,3-1(全周),材料学院,12.89
计算材料学,2,刘剑波,4-1(全周),材料学院,43.79
材料加工工艺,3,许庆彦,4-2(全周),材料学院,10.34
综合论文训练,9,李正操,(全周),材料学院,12.14
离散数学方法,4,陆玫,1-1(全周);3-3(全周),数学系,11.04
综合论文训练,15,左怀青,(全周),数学系,17.17
综合论文训练,15,董芳含,(全周),数学系,13.79
数学规划,4,张立平,3-2(全周);1-3(全周),数学系,14.48
泛函分析(1),4,步尚全,2-2(全周);4-2(全周),数学系,13.26
概率论(1),4,王小群,1-1(全周);3-3(全周),数学系,17.59
概率论(1),4,梁宗霞,1-1(全周);3-3(全周),数学系,18.6
微分几何,4,陈大广,3-4(全周);1-1(全周),数学系,18.68
偏微分方程,4,雍稳安,2-3(全周);4-1(全周),数学系,15.71
代数学前沿基础,4,朱敏娴,3-4(全周);1-2(全周),数学系,19.58
分析力学,3,刘思齐,2-2(全周),数学系,14.39
线性回归,4,杨瑛,3-1(全周);1-2(全周),数学系,13.67
科研论文训练,4,吴昊,(全周),数学系,10.21
核物理与粒子物理,4,肖志刚,2-1(全周);4-2(全周),物理系,48.11
激光与近代光学,4,高健存,2-2(全周);4-1(全周),物理系,11.47
专题研究课(2),3,张定,(全周),物理系,15.99
固体物理(1),4,朱邦芬,2-4(全周);5-2(2-16周);3-4(1-15周),物理系,16.73
综合论文训练,10,张定,(全周),物理系,18.11
综合论文训练,10,闫永彬,(全周),物理系,19.16
综合论文训练,10,闫永彬,(全周),物理系,12.78
天体物理,2,杨轶,1-1(全周),物理系,16.0
物理实验,1,宋飞,2-4(前八周);2-3(前八周),物理系,18.02
仪器分析实验A,2,刘洋,(全周),化学系,18.97
综合论文训练,15,王歆燕,(全周),化学系,17.04
天然产物化学,2,巨勇,5-3(全周),化学系,15.05
化学生物学,3,刘磊,4-2(全周),化学系,13.82
化学生物学,3,陈永湘,3-2(全周),化学系,13.85
学术研究方法(2),3,王训,(全周),化学系,12.63
学术研究实践(2),4,王训,(全周),化学系,18.35
科研创新与挑战(1),1,张韶光,5-3(单周),化学系,37.3
科研创新与挑战(1),1,张韶光,3-3(单周),化学系,17.36
综合论文训练,15,麻彩萍,(全周),生命学院,19.92
植物科学导论,2,齐天从,1-1(全周),生命学院,18.46
认知的神经生物学基础,3,钟毅,1-2(全周),生命学院,11.97
种子植物分类学,2,王菁兰,4-1(全周),生命学院,11.62
脑疾病的生物学研究,1,姚骏,1-3(后八周),生命学院,38.25
激素在健康和疾病中的作用,2,王一国,1-4(全周),生命学院,45.02
生物信息学,2,鲁志,5-4(全周),生命学院,12.53
全球变化大数据分析,3,付昊桓,2-4(全周);2-3(全周),地学系,43.71
全球变化大数据分析,3,徐世明,1-6(全周),地学系,15.79
密码学基础,4,陈一镭,3-3(全周);5-3(全周),交叉信息院,14.54
综合论文训练,15,邓东灵,(全周),交叉信息院,17.56
量子计算机科学,4,段路明,4-2(全周),交叉信息院,12.18
计算机视觉,3,高阳,2-2(全周),交叉信息院,84.72
深度学习,3,吴翼,1-4(全周);1-3(全周),交叉信息院,17.03
数据库系统,4,张焕晨,3-2(全周),交叉信息院,16.56
大语言模型应用概论,2,徐葳,4-6(全周),交叉信息院,49.11
多模态机器学习,2,赵行,3-3(全周),交叉信息院,13.49
高级财务会计,3,谢德仁,2-2(全周),经管学院,11.97
生产与运作管理,3,黄朔,5-2(全周),经管学院,10.54
中级财务会计(2),3,王琨,3-4(全周);3-3(全周),经管学院,18.49
管理会计(1),3,尹程,3-6(全周),经管学院,13.17
综合论文训练,15,林志杰,(全周),经管学院,10.71
综合论文训练,15,张海燕,(全周),经管学院,12.33
综合论文训练,15,王天宇,(全周),经管学院,11.56
综合论文训练,15,吴斌珍,(全周),经管学院,15.35
综合论文训练,15,赵冬青,(全周),经管学院,16.39
综合论文训练,15,高峰,(全周),经管学院,15.82
综合论文训练,15,马弘,(全周),经管学院,15.0
社会保险,2,冯润桓,2-1(全周),经管学院,13.12
税制与税务,3,钱苹,3-2(全周),经管学院,19.92
动态系统分析与控制,3,陈剑,1-4(全周);1-3(全周),经管学院,14.69
产业组织理论,3,周俊杰,3-2(全周),经管学院,11.66
商务案例分析,2,焦捷,1-4(后八周);1-3(后八周),经管学院,10.56
综合论文训练,10,罗文澜,(全周),经管学院,11.41
博弈论,3,刘潇,3-4(全周);3-3(全周),经管学院,35.12
金融学专题研究,3,朱玉杰,3-6(全周),经管学院,11.7
计量经济学(2),3,JINSAI…,5-4(全周);5-3(全周),经管学院,18.22
固定收益证券分析,3,WANG…,2-6(全周),经管学院,37.22
中级金融理论,3,刘淳,3-2(全周),经管学院,14.06
人生发展与职业规划(2),1,刘庆,4-6(前八周),经管学院,14.24
精算学(1),3,冯润桓,2-4(全周);2-3(全周),经管学院,41.24
投资学,3,朱英姿,1-2(全周),经管学院,16.86
投资学,3,WANG…,4-2(全周),经管学院,18.31
投资学,3,WANG…,3-6(全周),经管学院,19.63
中国与世界：历史视角,2,黄张凯,5-3(全周),经管学院,19.29
管理科学与工程科研导论,2,郭迅华,3-3(全周),经管学院,12.95
证券投资学,2,WANG…,3-2(全周),经管学院,17.51
企业经营战略,3,程源,4-2(全周),经管学院,16.32
组织行为学,3,吴志明,3-2(全周),经管学院,10.78
商务环境分析,2,王毅,1-2(全周),经管学院,13.09
统计学,4,潘文卿,1-1(全周);1-2(全周),经管学院,12.48
信息管理导论,3,卫强,4-2(全周),经管学院,11.18
营销分析,2,陈荣,3-6(前八周);2-6(前八周),经管学院,13.18
管理学(商学导论),3,张佳音,1-4(全周);1-3(全周),经管学院,17.81
管理学(商学导论),3,张佳音,2-4(全周);2-3(全周),经管学院,11.83
管理学(商学导论),3,黄翊,1-2(全周),经管学院,10.33
管理学(商学导论),3,黄翊,2-4(全周);2-3(全周),经管学院,16.26
全球商务观察—德国企业的管理与创新,1,焦捷,(13周),经管学院,13.81
创业领导力,2,马新东,2-2(全周),经管学院,18.51
比较体育,2,陈伟强,5-2(全周),经管学院,19.55
人力资源管理,2,吴志明,3-6(前八周);5-6(前八周),经管学院,12.42
金融科技,2,冯润桓,3-4(全周),经管学院,49.69
区块链技术金融应用,2,冯润桓,5-3(全周),经管学院,19.12
博弈论与机制设计,3,WANG…,1-4(全周);1-3(全周),经管学院,12.35
管理信息系统及其分析设计,3,郭迅华,1-4(全周);1-3(全周),经管学院,17.65
商务数据分析,3,毛波,2-2(全周),经管学院,18.04
经济学学堂班学术讲座(1),1,刘晨源,(双周),经管学院,10.54
经济学学堂班学术讲座(2),1,刘晨源,(双周),经管学院,12.12
中国政治经济,3,孟天广,5-2(全周),经管学院,19.58
金融伦理,2,赵冬青,5-2(全周),经管学院,10.95
组织与管理学基础,3,周源,4-6(全周),公管学院,12.76
公共管理概论,3,曹峰,6-3(全周);6-4(全周),公管学院,17.27
日语口译(2),2,KURASHIGE…,2-3(全周),外文系,19.01
英语史,2,何宏华,1-4(全周),外文系,13.07
句法学导论,2,何宏华,1-3(全周),外文系,15.6
美国文学经典选读,2,陈湘静,2-3(全周),外文系,15.82
《圣经》与文学,2,生安锋,2-1(全周),外文系,13.93
英汉互译(2),2,覃学岚,2-4(全周),外文系,31.83
英国文学经典,3,沈安妮,3-6(全周),外文系,38.28
基础日语(2),8,孙彬,3-2(全周);2-2(全周);4-6(全周),外文系,19.85
世界文学与文化研讨课,2,DUBREUILL…,4-6(后八周);1-6(后八周),外文系,36.96
现代语言学流派,3,封宗信,5-2(全周),外文系,16.55
莎士比亚戏剧选读,3,刘昊,1-2(全周),外文系,46.4
中级日语文化观察(2),4,陈朝辉,3-4(全周);3-6(全周),外文系,13.87
形式语用学导论,3,刘明明,5-4(全周);5-3(全周),外文系,17.34
日本语言与媒体(2),2,KURASHIGE…,3-3(全周),外文系,16.28
跨文化交际(2),2,KURASHIGE…,1-3(全周),外文系,17.61
翻译理论与实践,3,王成,4-2(全周),外文系,18.61
英国文学史,3,赵元,3-4(全周);3-3(全周),外文系,38.42
二语习得概论,2,刘梅华,2-1(全周),外文系,11.63
从西方经典到跨国反思：世界女性主义理论和实践,3,WANGLI…,5-6(后八周);3-6(后八周),外文系,41.92
综合论文训练,8,刘明明,(全周),外文系,14.72
综合论文训练,8,刘明明,(全周),外文系,18.25
综合论文训练,8,KURASHIGE…,(全周),外文系,15.73
语言学中的实证研究,3,刘梅华,3-2(全周),外文系,19.24
同声传译,3,郑文博,3-2(全周),外文系,30.37
同声传译,3,郑文博,2-2(全周),外文系,34.49
日语词汇、符号和语音学,2,FUJIMOTO…,3-1(全周),外文系,11.71
日本的漫画语言,2,FUJIMOTO…,3-3(全周),外文系,17.21
中国文明与东亚文化,2,KONOKIMIKO,7-6(前八周);7-5(前八周),外文系,16.76
语言与心智,3,徐婷,2-2(全周),外文系,14.19
英国诗歌研读,2,赵元,4-2(全周),外文系,31.24
国际法学,3,张新军,1-2(全周),法学院,12.13
国际私法学,3,李旺,5-2(全周),法学院,16.36
知识产权法学,3,崔国斌,1-4(全周);1-3(全周),法学院,18.17
法律实务,3,陈建民,5-6(全周),法学院,13.75
国际经济法学,3,车丕照,3-2(全周),法学院,11.03
民法总论,4,申卫星,2-2(全周);2-1(全周),法学院,10.17
法理学,3,李平,5-2(全周),法学院,14.85
民法研讨与案例分析,2,崔建远,5-1(全周),法学院,18.56
刑法各论(1),3,黎宏,4-6(全周),法学院,14.87
债法,5,王洪亮,3-1(全周);1-2(全周),法学院,14.29
非诉讼的纠纷解决制度,2,陈杭平,5-1(全周),法学院,19.81
保险法,2,傅廷中,2-4(前八周);2-3(前八周),法学院,17.15
财税法,3,张牧君,4-2(全周),法学院,11.59
证券法,2,沈朝晖,4-1(全周),法学院,19.8
德国民法概论,3,陈卫佐,4-2(全周),法学院,10.4
国际环境法学(英),3,王明远,2-2(全周),法学院,13.2
世界贸易组织法(英),3,杜明,5-2(全周),法学院,12.4
破产法,2,高丝敏,2-1(全周),法学院,19.0
综合论文训练,10,高丝敏,(全周),法学院,16.48
商法学,4,梁上上,3-4(全周);3-3(全周),法学院,13.79
刑法学文献选读,2,王钢,4-1(全周),法学院,13.69
世界贸易组织法中国案例研究,3,杨国华,2-2(全周),法学院,16.25
普通法精要(1),4,GRIMAJ…,2-4(全周);2-3(全周),法学院,31.66
普通法精要(4),3,ROSOFF…,3-1(1-12周);1-1(1-12周),法学院,15.44
行政诉讼法,3,何海波,4-2(全周),法学院,18.68
影视制作(1),3,梁君健,3-6(全周),新闻学院,10.34
媒介调查与统计,3,金兼斌,2-6(全周),新闻学院,18.15
清新时报工作坊,2,陆洪磊,4-2(全周),新闻学院,14.25
社会化媒体应用(2),3,张小琴,2-6(全周),新闻学院,14.3
文献检索与利用(马克思主义理论),1,王媛,3-4(前八周),马克思主义学院,19.59
马克思主义哲学(上),2,刘恩至,4-2(1-10周),马克思主义学院,10.7
中华人民共和国史,3,李玉蓉,1-4(1-12周);1-3(1-12周),马克思主义学院,15.31
《资本论》选读,2,王峰明,5-4(全周),马克思主义学院,36.92
马克思主义伦理学,2,李义天,3-2(全周),马克思主义学院,17.92
伦理学理论与道德实践,2,肖巍,1-2(1-10周),马克思主义学院,14.68
马克思主义与当代社会思潮,2,蒋耘中,2-4(全周),马克思主义学院,11.78
网络意识形态建设概论,2,张瑜,2-2(全周),马克思主义学院,16.95
综合论文训练,15,陈壁生,(全周),人文学院,17.63
综合论文训练,15,熊鹰,(全周),人文学院,18.52
魏晋南北朝史,3,孙正军,3-6(全周),人文学院,16.67
秦汉史,3,郭伟涛,5-2(全周),人文学院,17.25
先秦史,3,刘国忠,1-4(全周);1-3(全周),人文学院,13.77
宋元史,3,方诚峰,5-2(全周),人文学院,18.78
世界近现代史,3,梅雪芹,3-4(全周);3-3(全周),人文学院,12.26
宗教学原理,3,朱东华,5-2(全周),人文学院,14.85
《圣经》与西方文化,3,黄裕生,5-2(全周),人文学院,13.9
汉字学,3,李守奎,3-4(全周);3-3(全周),人文学院,13.01
日本史,3,刘晓峰,1-2(全周),人文学院,32.67
数字人文与Python编程,3,刘颖,4-2(全周),人文学院,10.33
综合论文训练,12,孙正军,(全周),人文学院,18.09
宋明理学,3,高海波,3-2(全周),人文学院,16.07
英语世界中的道家哲学,3,袁艾,2-4(全周);2-3(全周),人文学院,13.58
数字人文,2,李飞跃,4-6(全周),人文学院,14.95
现代基督教哲学,3,瞿旭彤,3-6(全周),人文学院,35.13
法国史,3,吕昭,2-2(全周),人文学院,46.07
德国古典哲学与马克思,3,陈浩,2-2(全周),人文学院,17.3
甲骨学通论与资料选读,3,黄天树,4-2(全周),人文学院,16.96
古地图中的东亚,3,宋念申,3-4(全周);3-3(全周),人文学院,19.67
国际汉学专题,3,RensKrij…,5-2(全周),人文学院,12.69
考古学专题,3,严志斌,2-2(全周),人文学院,18.28
综合论文训练,9,熊鹰,(全周),人文学院,16.68
综合论文训练,9,陈壁生,(全周),人文学院,17.82
综合论文训练,9,孙正军,(全周),人文学院,16.33
综合论文训练,9,王子杨,(全周),人文学院,13.84
欧洲文学与思想,3,范佳妮,1-4(全周);1-3(全周),人文学院,19.73
亚里士多德《尼各马可伦理学》,3,HAHMANN…,5-4(全周);5-3(全周),人文学院,11.47
全球视野下的艺术史,3,孙晶,2-2(全周),人文学院,11.14
综合论文训练,15,孙秀林,(全周),社科学院,19.88
综合论文训练,15,李红军,(全周),社科学院,15.92
综合论文训练,15,漆海霞,(全周),社科学院,11.25
综合论文训练,15,伍珍,(全周),社科学院,13.0
综合论文训练,15,于晓虹,(全周),社科学院,12.46
国际关系学概论,3,邢悦,3-4(全周);3-3(全周),社科学院,38.95
社会分层与流动,3,王天夫,2-2(全周),社科学院,14.32
社会统计学,3,何晓斌,4-2(全周),社科学院,12.14
组织社会学,3,刘军强,4-6(全周),社科学院,12.98
社会问题与社会政策,3,刘军强,3-6(全周),社科学院,10.14
西方社会学思想史(下),3,杜月,3-4(全周);3-3(全周),社科学院,19.63
日本研究,3,刘江永,2-4(全周);2-3(全周),社科学院,18.6
中国对外政策,3,孙学峰,2-6(全周),社科学院,16.49
中级宏观经济学,3,谢丹夏,2-6(全周),社科学院,11.02
家庭社会学,3,赵一璋,1-2(全周),社科学院,11.5
医学社会学,3,李晓谕,1-2(全周),社科学院,11.22
美国政治与外交,3,达巍,1-6(全周),社科学院,18.21
外交学,3,赵可金,1-4(全周);1-3(全周),社科学院,13.0
世界经济史,3,徐志浩,3-1(2-13周);1-1(2-13周),社科学院,10.26
原苏联东欧地区研究,2,吴大辉,1-3(全周),社科学院,13.21
中级政治经济学,3,赵准,2-2(全周),社科学院,14.75
产业经济学,3,李红军,5-2(全周),社科学院,18.86
金融社会学,3,郑路,3-6(全周),社科学院,16.19
亚太地区政治与经济,3,刘丰,2-2(全周),社科学院,13.43
前沿创新研究：社会应用智能(2),2,王非,(全周),社科学院,10.95
前沿创新研究：心理健康(2),2,牟文婷,(全周),社科学院,11.86
前沿创新研究：社会情感智能(2),2,伍珍,(全周),社科学院,15.36
发展心理学进阶,2,钱静,3-2(全周),社科学院,12.48
航空体育-海军(4),2,王壹伦,6-1(全周);5-3(全周);1-3(全周),体育部,12.45
航空体育-海军(6),2,郭惠珍,6-1(全周);5-3(全周);1-3(全周),体育部,19.91
录音与影视音乐制作,2,程远,2-4(7-16周);2-4(1-6周),艺教中心,48.99
数字音频与制作技术,2,李巍,1-3(全周),艺教中心,37.88
数字音频与制作技术,2,李巍,1-4(全周),艺教中心,32.33
服饰纺织品设计,3,刘亚,3-2(12-15周);3-1(12-15周),美术学院,16.04
服装设计(3),5,王悦,5-2(9-14周);5-1(9-14周),美术学院,10.73
创作练习(2),2,陈辉,1-2(13-16周);1-1(13-15周),美术学院,11.36
环境行为心理学,1,杜异,4-2(1-4周);4-1(1-4周),美术学院,19.07
地毯设计,4,张宝华,3-2(6-11周);3-1(6-11周),美术学院,15.26
书籍设计,4,赵健,3-2(9-13周);3-1(9-13周),美术学院,15.35
书籍设计,4,王红卫,3-2(9-13周);3-1(9-13周),美术学院,16.1
人体工程学,1,张月,4-2(5-8周);4-1(5-8周),美术学院,18.64
毕业论文,15,刘平,(全周),美术学院,14.75
产品计划,1,杨霖,5-2(5-8周);5-1(5-8周),美术学院,15.62
家具设计,2,于历战,1-1(9-12周);4-2(9-12周),美术学院,14.7
家具设计,2,刘铁军,1-1(9-12周);4-2(9-12周),美术学院,11.5
家具设计,2,于历战,5-2(13-16周);5-1(13-16周),美术学院,18.23
家具设计,2,刘铁军,5-2(13-16周);5-1(13-16周),美术学院,16.77
综合设计表达,1,刘振生,5-2(9-12周);5-1(9-12周),美术学院,13.99
中国传统雕塑彩塑,3,马天羽,3-2(5-8周);3-1(5-8周);4-3(5-8周),美术学院,17.13
抽象雕塑,3,陈辉,3-1(1-4周);4-2(1-4周);4-2(5-8周),美术学院,18.23
凸版版画技法(套色),3,代大权,1-2(1-6周);1-1(1-6周);2-3(1-6周),美术学院,17.79
凹版版画创作,3,裴莹,1-2(13-16周);1-1(13-16周),美术学院,10.61
