课程名,学分,主讲教师,上课时间,开课院系,掉课率
电影文化,3,尹红,1-6(全周),新闻学院,35.87
媒介素养综合知识与实践,2,覃川,3-6(1-11周),新闻学院,40.78
欧洲媒体、文化与社会,2,张莉,2-4(单周);2-3(单周),新闻学院,40.9
镜头中的国家与社会,3,梁君健,2-6(全周),新闻学院,49.66
视听语言与短片创作,3,司若,2-4(全周);2-3(全周),新闻学院,34.95
人际传播与公共演讲,2,匡恺,4-6(1-11周),新闻学院,12.13
改革开放史(“四史”),1,鄢一龙,1-2(后八周),马克思主义学院,35.09
围棋与中国文化,2,方天丰,4-6(全周),人文学院,38.01
逻辑学概论,2,陈为蓬,4-1(全周),人文学院,18.06
《老子》与《论语》,2,陈怡,1-6(1-7周);3-6(1-7周),人文学院,16.54
昆曲艺术欣赏,2,陈为蓬,2-6(全周),人文学院,48.5
儒学概论,2,程钢,3-6(全周),人文学院,18.77
西方文学思潮与作品,2,张玲霞,3-2(1-11周),人文学院,18.92
创新人才与大学文化,2,蔡文鹏,1-4(全周),人文学院,15.77
中国古典诗歌研究与赏析,2,孙明君,2-6(全周),人文学院,18.7
文化素质教育讲座(1),1,蔡文鹏,4-4(全周);4-3(全周),人文学院,11.53
《庄子》导读,2,陈怡,4-6(1-7周);2-6(1-7周),人文学院,19.04
清史概要,2,戚学民,4-6(全周),人文学院,38.15
不朽的艺术：走进大师与经典,3,肖鹰,(全周),人文学院,14.05
中文应用文写作,2,蔡文鹏,2-3(全周),人文学院,19.03
西方文艺复兴与早期现代艺术史,3,孙晶,2-6(全周),人文学院,15.54
佛教哲学概论,3,圣凯,4-6(全周),人文学院,16.27
生命科学史,2,陆伊骊,3-4(后八周);1-4(后八周),人文学院,19.85
现代西方科学哲学,2,王巍,4-6(全周),人文学院,13.25
当代科学中的哲学问题,2,王巍,3-6(全周),人文学院,18.93
拉丁语基础(2),3,蒋澈,2-6(全周),人文学院,11.46
故宫学,2,章宏伟,4-6(全周),人文学院,35.11
古典社会学思想,3,李康,3-4(全周);3-3(全周),人文学院,18.26
《红楼梦》导读,3,曹立波,2-6(全周),人文学院,47.3
书法与篆刻创作,2,刘克明,4-6(1-12周),人文学院,10.03
出土文献与楚史楚文化,3,魏栋,1-6(全周),人文学院,16.54
人际沟通,1,廖彬超,3-1(前八周),人文学院,44.53
